hit_rate,player,defender
1.0,jordan hill,"Scott, Mike"
1.0,robert sacre,"Motiejunas, Donatas"
1.0,harrison barnes,"Hibbert, Roy"
1.0,leandro barbosa,"Asik, Omer"
1.0,klay thompson,"Zeller, Cody"
1.0,klay thompson,"Farmar, Jordan"
1.0,otto porter,"Davis, Ed"
1.0,bradley beal,"Covington, Robert"
1.0,rasual butler,"Horford, Al"
1.0,john wall,"Jerebko, Jonas"
1.0,jrue holiday,"Zeller, Tyler"
1.0,luke babbitt,"Plumlee, Mason"
1.0,alexis ajinca,"Grant, Jerami"
1.0,kyle lowry,"Livingston, Shaun"
1.0,terrence ross,"Cunningham, Dante"
1.0,bismack biyombo,"Scola, Luis"
1.0,gary neal,"Dunleavy, Mike"
1.0,kemba walker,"Smith, Josh"
1.0,enes kanter,"Sullinger, Jared"
1.0,jeremy lin,"Irving, Kyrie"
1.0,jeremy lin,"Beverley, Patrick"
1.0,jordan hill,"Kidd-Gilchrist, Michael"
1.0,marreese speights,"Bennett, Anthony"
1.0,shaun livingston,"Walker, Kemba"
1.0,andrew bogut,"Pierce, Paul"
1.0,andre iguodala,"Hardaway Jr., Tim"
1.0,thabo sefolosha,"Copeland, Chris"
1.0,thabo sefolosha,"Olynyk, Kelly"
1.0,paul millsap,"Turkoglu, Hedo"
1.0,kyle korver,"Harkless, Maurice"
1.0,pero antic,"Hawes, Spencer"
1.0,mike scott,"Temple, Garrett"
1.0,mike scott,"Anderson, Ryan"
1.0,mike scott,"Asik, Omer"
1.0,kris humphries,"Jordan, Jerome"
1.0,rasual butler,"Oladipo, Victor"
1.0,brian roberts,"Smith, Jason"
1.0,brian roberts,"Miller, Mike"
1.0,marvin williams,"Fournier, Evan"
1.0,marvin williams,"Lillard, Damian"
1.0,jason maxiell,"Aldridge, LaMarcus"
1.0,trevor booker,"McCollum, CJ"
1.0,derrick favors,"Splitter, Tiago"
1.0,jon ingles,"Miller, Mike"
1.0,trey burke,"Faried, Kenneth"
1.0,wesley johnson,"Korver, Kyle"
1.0,nick young,"Lawson, Ty"
1.0,harrison barnes,"Middleton, Khris"
1.0,klay thompson,"Augustin, D.J."
1.0,klay thompson,"Butler, Caron"
1.0,andrew bogut,"Stoudemire, Amar'e"
1.0,kyle korver,"Jack, Jarrett"
1.0,mike scott,"Smith, Josh"
1.0,jeff teague,"Henson, John"
1.0,demarre carroll,"Waiters, Dion"
1.0,kris humphries,"Turkoglu, Hedo"
1.0,bradley beal,"Teague, Jeff"
1.0,tyreke evans,"Duncan, Tim"
1.0,anthony davis,"Muscala, Mike"
1.0,tyler hansbrough,"Thomas, Lance"
1.0,terrence ross,"Anderson, Ryan"
1.0,jrue holiday,"Mills, Patty"
1.0,brian roberts,"Smith, Greg"
1.0,brian roberts,"Len, Alex"
1.0,cody zeller,"Mbah a Moute, Luc"
1.0,lance stephenson,"Wade, Dwyane"
1.0,lance stephenson,"Acy, Quincy"
1.0,trevor booker,"Schroder, Dennis"
1.0,jon ingles,"Carter-Williams, Michael"
1.0,jon ingles,"Durant, Kevin"
1.0,trey burke,"Motiejunas, Donatas"
1.0,kobe bryant,"Henderson, Gerald"
1.0,ronnie price,"Payton, Elfrid"
1.0,ronnie price,"Allen, Lavoy"
1.0,wayne ellington,"Williams, Mo"
1.0,wesley johnson,"Brooks, Aaron"
1.0,nick young,"Jefferson, Richard"
1.0,nick young,"Koufos, Kosta"
1.0,robert sacre,"Redick, JJ"
1.0,shaun livingston,"Hayward, Gordon"
1.0,andre iguodala,"Williams, Lou"
